accuracy,precision,recall,fscore,method
0.984063745,0.991935484,0.976190476,0.984,RF
0.972111554,0.968503937,0.976190476,0.972332016,SVM
0.976095618,0.96875,0.984126984,0.976377953,LASSO
0.984063745,0.984126984,0.984126984,0.984126984,RF
0.952191235,0.967213115,0.936507937,0.951612903,SVM
0.972111554,0.968503937,0.976190476,0.972332016,LASSO
0.996015936,0.992125984,1,0.996047431,RF
0.96812749,0.968253968,0.968253968,0.968253968,SVM
0.96812749,0.946969697,0.992063492,0.968992248,LASSO
0.984063745,0.991935484,0.976190476,0.984,RF
0.976095618,0.96875,0.984126984,0.976377953,SVM
0.96812749,0.953846154,0.984126984,0.96875,LASSO
0.976095618,0.976190476,0.976190476,0.976190476,RF
0.972111554,0.983739837,0.96031746,0.97188755,SVM
0.964143426,0.953488372,0.976190476,0.964705882,LASSO
0.980079681,0.976377953,0.984126984,0.980237154,RF
0.980079681,0.991869919,0.968253968,0.979919679,SVM
0.972111554,0.954198473,0.992063492,0.972762646,LASSO
0.96812749,0.946969697,0.992063492,0.968992248,RF
0.972111554,0.983739837,0.96031746,0.97188755,SVM
0.972111554,0.976,0.968253968,0.972111554,LASSO
0.988047809,0.992,0.984126984,0.988047809,RF
0.972111554,0.983739837,0.96031746,0.97188755,SVM
0.972111554,0.968503937,0.976190476,0.972332016,LASSO
0.976095618,0.954545455,1,0.976744186,RF
0.964143426,0.968,0.96031746,0.964143426,SVM
0.992031873,0.992063492,0.992063492,0.992063492,LASSO
0.972111554,0.96124031,0.984126984,0.97254902,RF
0.984063745,0.991935484,0.976190476,0.984,SVM
0.984063745,0.984126984,0.984126984,0.984126984,LASSO
0.980079681,0.984,0.976190476,0.980079681,RF
0.972111554,0.96124031,0.984126984,0.97254902,SVM
0.972111554,0.954198473,0.992063492,0.972762646,LASSO
0.972111554,0.968503937,0.976190476,0.972332016,RF
0.972111554,1,0.944444444,0.971428571,SVM
0.984063745,0.9765625,0.992063492,0.984251969,LASSO
0.976095618,0.983870968,0.968253968,0.976,RF
0.960159363,0.953125,0.968253968,0.960629921,SVM
0.952191235,0.931818182,0.976190476,0.953488372,LASSO
0.96812749,0.968253968,0.968253968,0.968253968,RF
0.96812749,0.968253968,0.968253968,0.968253968,SVM
0.972111554,0.968503937,0.976190476,0.972332016,LASSO
0.980079681,0.968992248,0.992063492,0.980392157,RF
0.944223108,0.951612903,0.936507937,0.944,SVM
0.964143426,0.946564885,0.984126984,0.964980545,LASSO
0.972111554,0.976,0.968253968,0.972111554,RF
0.96812749,0.991666667,0.944444444,0.967479675,SVM
0.964143426,0.939849624,0.992063492,0.965250965,LASSO
